date, value
01-01-2010,8.2
01-02-2010,8.4
01-03-2010,8.5
01-04-2010,8.7
01-05-2010,8.7
01-06-2010,9.2
01-07-2010,9.3
01-08-2010,9.3
01-09-2010,9.3
01-10-2010,8.8
01-11-2010,9
01-12-2010,8.9
01-01-2011,9.1
01-02-2011,9.1
01-03-2011,8.9
01-04-2011,8.9
01-05-2011,8.9
01-06-2011,9.6
01-07-2011,9.8
01-08-2011,9.9
01-09-2011,9.7
01-10-2011,9.5
01-11-2011,9.8
01-12-2011,9.8
01-01-2012,9.8
01-02-2012,10
01-03-2012,9.99
01-04-2012,9.89
01-05-2012,9.69
01-06-2012,9.98
01-07-2012,9.975
01-08-2012,9.975
01-09-2012,9.76
01-10-2012,9.76
01-11-2012,9.5
01-12-2012,9.2
01-01-2013,9.1
01-02-2013,9.1
01-03-2013,9.1
01-04-2013,9.4
01-05-2013,9.6
01-06-2013,9.8
01-07-2013,10
01-08-2013,10.2
01-09-2013,10.1
01-10-2013,9.8
01-11-2013,9.8
01-12-2013,9.8
01-01-2014,9.9
01-02-2014,9.85
01-03-2014,9.65
01-04-2014,9.65
01-05-2014,9.65
01-06-2014,9.65
01-07-2014,9.8
01-08-2014,9.7
01-09-2014,9.6
01-10-2014,9.7
01-11-2014,9.6
01-12-2014,9.6
01-01-2015,9.6
01-02-2015,9.7
01-03-2015,10.1
01-04-2015,10.1
01-05-2015,10.3
01-06-2015,10.45
01-07-2015,10.36
01-08-2015,10.25
01-09-2015,10.25
01-10-2015,10.2
01-11-2015,10.1
01-12-2015,10.1
01-01-2016,10.2
01-02-2016,10.2
01-03-2016,10.2
01-04-2016,10.2
01-05-2016,10.3
01-06-2016,10.5
01-07-2016,10.63
01-08-2016,10.6
01-09-2016,10.56
01-10-2016,10.55
01-11-2016,10.6
01-12-2016,10.5
01-01-2017,9.98
01-02-2017,10
01-03-2017,10
01-04-2017,9.98
01-05-2017,10.05
01-06-2017,10.06
01-07-2017,10.1
01-08-2017,10.14
